"user_id","first_event_at","last_event_at","events_count"
"5304916f-ba36-48c6-aaca-712b3a4b46b6","2026-03-22 10:45:32","2026-03-22 10:45:32",1
"fa54b47d-3e03-45fc-9f84-a78cfafa567b","2026-03-22 10:45:39","2026-03-22 10:52:26",50
"991f1d92-6c8b-46e0-b861-e739ee18b52f","2026-03-22 13:29:32","2026-03-22 13:30:45",21
"e92e5330-9ca7-4859-b9c6-39d35fb59021","2026-03-22 13:32:39","2026-03-22 13:32:39",1
"36a84074-907d-4e5f-a5d2-8dc36e5f47cd","2026-03-22 13:32:41","2026-03-22 13:35:42",37
"5ffe0291-ed65-4816-823e-eb5323bd4ee6","2026-03-22 13:33:18","2026-03-22 13:36:55",31
"25c20f46-73fb-4104-835f-ff02e180b149","2026-03-22 13:35:07","2026-03-26 08:48:43",69
"218797de-e4bf-4ff8-b396-69441668d383","2026-03-22 16:26:27","2026-03-22 16:26:27",1
"1bca1bdc-25ea-47d1-889b-82301aa1fa33","2026-03-22 16:26:32","2026-03-22 16:27:41",22
"cb630d7e-1a34-4aab-b634-53c8d974a4ca","2026-03-22 21:01:14","2026-03-22 21:02:05",23
"d558ce40-3884-4c72-a133-6b3da30a511f","2026-03-23 06:28:10","2026-03-23 06:29:35",28
"efe0b242-36f6-48ae-8bea-68569a85cb0e","2026-03-23 08:36:50","2026-03-23 08:36:50",1
"6728d9d2-3324-4b06-a2fa-19ddfc8aca97","2026-03-23 08:38:56","2026-03-23 08:38:56",1
"a5b34526-3ce3-4a0b-9abf-18be53e31711","2026-03-23 08:39:07","2026-03-23 08:39:58",16
"083a1ef3-2aff-4f31-b4c8-c58b87f7ad57","2026-03-23 08:42:34","2026-03-23 08:42:34",1
"13fef747-7810-40f5-b201-e9d0cf25cdeb","2026-03-23 08:54:56","2026-03-23 08:56:16",23
"e29d7ecd-5eac-4c17-8d89-965685f135be","2026-03-23 19:10:30","2026-03-23 19:21:28",30
"f28ed940-e77e-4f7b-bcda-39a944827f38","2026-03-23 19:13:28","2026-03-24 21:00:46",91
"6aadd605-e004-40d2-a848-ad264a0bfd8e","2026-03-23 19:28:55","2026-03-23 19:28:55",1
"35961bc5-7dcd-4d0a-9a4f-4bc9cb712be8","2026-03-23 19:29:07","2026-03-23 19:30:07",20
"ec2cc5ab-9231-47eb-b6c6-9371f09b155c","2026-03-23 19:29:12","2026-03-23 19:29:12",1
"bb491be8-e47c-465e-b72d-84970ca67ea7","2026-03-24 09:57:13","2026-03-24 09:59:02",30
"d184b2f1-38c3-4f36-9498-fc32644002e2","2026-03-24 09:59:21","2026-03-24 10:05:10",45
